Aasta,Meeste vanuserühm,Naised vanuses 15-19,Naised vanuses 20-24,Naised vanuses 25-29,Naised vanuses 30-34,Naised vanuses 35-39,Naised vanuses 40-44,Naised vanuses 45-49,Naised vanuses 50-54,Naised vanuses 55-59,Naised vanuses 60-64,Naised vanuses 65-69,Naised vanuses 70-74,Naised vanuses 75 ja enam
2017,Mehed vanuses 15-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Mehed vanuses 20-24,1,31,8,3,2,0,0,0,0,0,0,0,0
2017,Mehed vanuses 25-29,0,64,149,47,19,4,0,0,0,0,0,0,0
2017,Mehed vanuses 30-34,0,21,179,223,59,16,4,3,0,0,0,0,0
2017,Mehed vanuses 35-39,0,6,54,201,186,63,12,3,0,0,0,0,0
2017,Mehed vanuses 40-44,0,2,20,70,168,186,50,12,5,0,0,0,0
2017,Mehed vanuses 45-49,0,1,5,29,73,168,192,38,7,2,1,0,0
2017,Mehed vanuses 50-54,0,0,3,6,21,50,100,117,27,4,2,0,0
2017,Mehed vanuses 55-59,0,0,1,4,4,16,35,100,95,22,4,3,0
2017,Mehed vanuses 60-64,0,0,0,3,2,6,7,19,48,48,11,3,0
2017,Mehed vanuses 65-69,0,1,0,0,1,5,3,2,9,27,22,5,3
2017,Mehed vanuses 70-74,0,0,0,0,1,1,2,1,3,3,11,6,6
2017,Mehed vanuses 75 ja enam,0,0,0,0,0,0,0,2,1,0,3,5,8
