Aasta,Meeste vanuserühm,Naised vanuses 15-19,Naised vanuses 20-24,Naised vanuses 25-29,Naised vanuses 30-34,Naised vanuses 35-39,Naised vanuses 40-44,Naised vanuses 45-49,Naised vanuses 50-54,Naised vanuses 55-59,Naised vanuses 60-64,Naised vanuses 65-69,Naised vanuses 70-74,Naised vanuses 75 ja enam
2018,Mehed vanuses 15-19,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,Mehed vanuses 20-24,2,30,9,3,2,0,0,0,0,0,0,0,0
2018,Mehed vanuses 25-29,2,61,124,36,9,2,0,1,0,0,0,0,0
2018,Mehed vanuses 30-34,2,30,164,229,51,16,5,3,0,0,0,0,0
2018,Mehed vanuses 35-39,1,6,63,182,201,76,13,4,1,0,0,0,0
2018,Mehed vanuses 40-44,0,2,16,68,192,176,61,13,1,2,0,0,0
2018,Mehed vanuses 45-49,0,0,6,24,61,150,168,37,8,1,0,0,0
2018,Mehed vanuses 50-54,0,1,2,10,25,41,116,98,23,4,0,0,0
2018,Mehed vanuses 55-59,0,1,0,1,6,14,37,67,85,25,4,0,0
2018,Mehed vanuses 60-64,0,0,0,0,2,5,13,29,39,42,12,2,0
2018,Mehed vanuses 65-69,0,0,0,0,0,3,2,4,12,28,21,5,2
2018,Mehed vanuses 70-74,0,0,0,0,0,0,0,2,4,7,13,11,5
2018,Mehed vanuses 75 ja enam,0,0,0,0,0,0,0,0,2,0,3,8,17
