Aasta,Meeste vanuserühm,Naised vanuses 15-19,Naised vanuses 20-24,Naised vanuses 25-29,Naised vanuses 30-34,Naised vanuses 35-39,Naised vanuses 40-44,Naised vanuses 45-49,Naised vanuses 50-54,Naised vanuses 55-59,Naised vanuses 60-64,Naised vanuses 65-69,Naised vanuses 70-74,Naised vanuses 75 ja enam
2021,Mehed vanuses 15-19,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Mehed vanuses 20-24,2,23,2,3,0,0,0,0,0,0,0,0,0
2021,Mehed vanuses 25-29,1,38,98,18,3,1,1,0,0,0,0,0,0
2021,Mehed vanuses 30-34,0,16,106,169,54,10,4,3,0,0,0,0,0
2021,Mehed vanuses 35-39,0,4,39,169,202,44,14,2,1,0,0,0,0
2021,Mehed vanuses 40-44,0,3,5,52,160,158,47,8,3,0,0,0,0
2021,Mehed vanuses 45-49,0,0,4,19,67,123,134,33,5,2,0,0,0
2021,Mehed vanuses 50-54,0,0,1,4,25,44,97,82,14,4,1,0,0
2021,Mehed vanuses 55-59,0,0,0,7,5,25,28,57,47,17,3,1,1
2021,Mehed vanuses 60-64,0,0,0,1,3,3,5,10,32,36,7,0,0
2021,Mehed vanuses 65-69,0,0,0,0,0,3,2,6,5,22,19,0,2
2021,Mehed vanuses 70-74,0,0,0,0,0,1,0,2,3,3,8,5,2
2021,Mehed vanuses 75 ja enam,0,0,0,0,0,0,0,2,0,3,2,5,7
