"RV264U: MARRIAGES by Year, Type of settlement region, Place of residence of groom and Month of contracting the marriage"

"Year","Type of settlement region","Place of residence of groom","Months total","January","February","March","April","May","June","July","August","September","October","November","December"
"2018","Total","Jõgeva county",112,2,5,3,5,4,17,19,24,12,7,6,8
"2018","Total","Järva county",111,6,4,6,5,8,14,19,26,3,5,6,9
"2018","Total","Lääne county",67,3,4,2,6,3,11,7,17,5,3,1,5
"2018","Total","Lääne-Viru county",225,6,9,19,5,13,25,49,41,15,14,12,17
"2018","Total","Põlva county",84,1,1,6,4,5,7,15,20,12,4,5,4
"2018","Total","Pärnu county",341,16,14,11,17,33,39,46,83,25,18,21,18
"2018","Total","Rapla county",135,4,4,8,2,9,14,23,29,17,7,9,9
"2018","Total","Saare county",138,4,9,5,4,11,16,18,32,14,11,6,8
"2018","Total","Tartu county",664,18,28,25,35,45,71,110,155,49,43,40,45
"2018","Total","Valga county",93,4,4,3,4,11,11,9,26,4,5,6,6
"2018","Total","Viljandi county",123,5,3,1,4,12,17,21,30,5,12,4,9
"2018","Total","Võru county",128,1,5,6,4,12,15,20,35,6,12,5,7
"2018","Total","Place of residence in Estonia unknown",4,0,1,0,0,0,0,1,1,1,0,0,0
"2018","City and town settlement region","Total",4456,208,223,195,275,324,488,657,900,324,293,279,290
"2018","City and town settlement region","Place of residence unknown",.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","City and town settlement region","Place of residence outside of Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","City and town settlement region","Place of residence in Estonia",.,.,.,.,.,.,.,.,.,.,.,.,.
"2018","City and town settlement region","Harju county",2853,141,147,127,182,208,298,439,572,194,185,183,177
"2018","City and town settlement region","..Tallinn",2398,121,126,109,157,170,249,362,478,161,151,160,154
"2018","City and town settlement region","Hiiu county",0,0,0,0,0,0,0,0,0,0,0,0,0
"2018","City and town settlement region","Ida-Viru county",558,29,33,28,41,32,65,71,81,57,45,34,42
"2018","City and town settlement region","Jõgeva county",20,1,0,0,1,1,6,3,4,0,2,1,1
"2018","City and town settlement region","Järva county",43,2,1,6,2,1,5,4,11,2,2,4,3
"2018","City and town settlement region","Lääne county",29,2,2,1,2,1,4,4,8,3,0,0,2
"2018","City and town settlement region","Lääne-Viru county",70,3,5,4,2,5,11,17,10,4,2,4,3
"2018","City and town settlement region","Põlva county",23,0,0,3,1,1,1,2,6,3,2,0,4
