Aasta,Sugu,Vanuserühm,Töötav,Töötu,Pensionär,(Üli)õpilane,Töövõimetu*,Kodune
2016,Mehed,50-54,130,9,9,1,.,1
2016,Mehed,55-59,85,7,10,0,.,0
2016,Mehed,60-64,41,1,13,0,.,0
2016,Mehed,65-69,13,0,13,0,.,0
2016,Mehed,70-74,6,0,15,0,.,0
2016,Mehed,75 ja vanemad,0,0,11,0,.,0
2016,Naised,15-19,10,5,0,36,.,9
2016,Naised,20-24,378,30,7,118,.,59
2016,Naised,25-29,1008,54,5,61,.,99
2016,Naised,30-34,652,27,5,19,.,73
2016,Naised,35-39,386,20,5,0,.,39
2016,Naised,40-44,232,12,5,2,.,24
2016,Naised,45-49,165,8,7,3,.,15
2016,Naised,50-54,123,4,3,0,.,4
2016,Naised,55-59,49,6,9,0,.,3
2016,Naised,60-64,25,1,11,0,.,1
2016,Naised,65-69,3,0,16,0,.,0
2016,Naised,70-74,3,0,7,0,.,0
2016,Naised,75 ja vanemad,0,0,3,0,.,0
2017,Mehed,15-19,7,2,0,5,.,0
2017,Mehed,20-24,262,14,0,27,.,0
2017,Mehed,25-29,847,47,3,13,.,0
2017,Mehed,30-34,639,34,5,6,.,5
2017,Mehed,35-39,270,15,2,3,.,4
2017,Mehed,40-44,105,17,6,1,.,3
2017,Mehed,45-49,66,5,4,0,.,3
2017,Mehed,50-54,52,8,7,0,.,0
2017,Mehed,55-59,29,4,9,0,.,0
2017,Mehed,60-64,20,1,17,0,.,0
2017,Mehed,65-69,4,0,15,0,.,0
2017,Mehed,70-74,1,0,3,0,.,0
2017,Mehed,75 ja vanemad,0,0,6,0,.,0
2017,Naised,15-19,19,5,0,26,.,10
2017,Naised,20-24,315,47,2,90,.,41
2017,Naised,25-29,849,53,5,35,.,65
2017,Naised,30-34,403,29,5,14,.,51
2017,Naised,35-39,201,17,5,5,.,28
2017,Naised,40-44,93,10,4,1,.,16
2017,Naised,45-49,60,6,2,2,.,8
2017,Naised,50-54,34,7,4,0,.,6
2017,Naised,55-59,22,3,13,0,.,2
2017,Naised,60-64,3,2,17,0,.,0
2017,Naised,65-69,1,0,4,0,.,1
2017,Naised,70-74,0,0,2,0,.,0
2017,Naised,75 ja vanemad,0,0,3,0,.,0
