Aasta,Asustuspiirkonna liik,Mehe elukoht,Kokku,0 last,1 laps,2 last,3 last,4 last,5 või enam last,Ühiste laste arv teadmata
2018,Kokku,Elukoht väljaspool Eestit,159,90,30,13,1,1,1,23
2018,Kokku,Elukoht Eestis,3040,1366,864,622,136,19,5,28
2018,Kokku,Harju maakond,1502,638,450,328,60,6,2,18
2018,Kokku,Tallinn,1108,485,344,228,29,5,2,15
2018,Kokku,Hiiu maakond,19,7,4,5,1,0,0,2
2018,Kokku,Ida-Viru maakond,444,199,149,74,16,1,0,5
2018,Kokku,Jõgeva maakond,58,31,11,12,3,1,0,0
2018,Kokku,Järva maakond,57,22,14,13,4,2,1,1
2018,Kokku,Lääne maakond,39,17,9,11,1,1,0,0
2018,Kokku,Lääne-Viru maakond,129,59,34,27,8,1,0,0
2018,Kokku,Põlva maakond,39,22,4,9,3,1,0,0
2018,Kokku,Pärnu maakond,147,67,38,26,11,4,0,1
2018,Kokku,Rapla maakond,68,41,13,12,2,0,0,0
2018,Kokku,Saare maakond,48,24,14,6,2,1,1,0
2018,Kokku,Tartu maakond,299,145,82,52,18,1,1,0
2018,Kokku,Valga maakond,51,27,12,11,1,0,0,0
2018,Kokku,Viljandi maakond,76,41,15,17,3,0,0,0
2018,Kokku,Võru maakond,61,25,14,18,3,0,0,1
2018,Kokku,Elukoht Eestis teadmata,3,1,1,1,0,0,0,0
2018,Linnaline ja väikelinnaline asustuspiirkond,Kokku,2209,965,679,448,82,10,4,21
2018,Linnaline ja väikelinnaline asustuspiirkond,Elukoht teadmata,.,.,.,.,.,.,.,.
2018,Linnaline ja väikelinnaline asustuspiirkond,Elukoht väljaspool Eestit,.,.,.,.,.,.,.,.
2018,Linnaline ja väikelinnaline asustuspiirkond,Elukoht Eestis,.,.,.,.,.,.,.,.
2018,Linnaline ja väikelinnaline asustuspiirkond,Harju maakond,1302,547,402,289,42,5,2,15
2018,Linnaline ja väikelinnaline asustuspiirkond,Tallinn,1108,485,344,228,29,5,2,15
2018,Linnaline ja väikelinnaline asustuspiirkond,Hiiu maakond,0,0,0,0,0,0,0,0
2018,Linnaline ja väikelinnaline asustuspiirkond,Ida-Viru maakond,380,170,133,57,14,1,0,5
2018,Linnaline ja väikelinnaline asustuspiirkond,Jõgeva maakond,7,3,3,1,0,0,0,0
2018,Linnaline ja väikelinnaline asustuspiirkond,Järva maakond,24,9,6,7,1,0,1,0
2018,Linnaline ja väikelinnaline asustuspiirkond,Lääne maakond,22,9,5,7,0,1,0,0
2018,Linnaline ja väikelinnaline asustuspiirkond,Lääne-Viru maakond,52,27,13,10,2,0,0,0
2018,Linnaline ja väikelinnaline asustuspiirkond,Põlva maakond,9,6,1,2,0,0,0,0
2018,Linnaline ja väikelinnaline asustuspiirkond,Pärnu maakond,81,37,21,14,6,2,0,1
2018,Linnaline ja väikelinnaline asustuspiirkond,Rapla maakond,17,8,2,6,1,0,0,0
2018,Linnaline ja väikelinnaline asustuspiirkond,Saare maakond,24,10,10,3,1,0,0,0
2018,Linnaline ja väikelinnaline asustuspiirkond,Tartu maakond,213,99,62,36,14,1,1,0
2018,Linnaline ja väikelinnaline asustuspiirkond,Valga maakond,29,15,10,4,0,0,0,0
2018,Linnaline ja väikelinnaline asustuspiirkond,Viljandi maakond,28,16,7,5,0,0,0,0
2018,Linnaline ja väikelinnaline asustuspiirkond,Võru maakond,21,9,4,7,1,0,0,0
