Aasta,Asustuspiirkonna liik,Mehe elukoht,Kuud kokku,Jaanuar,Veebruar,Märts,Aprill,Mai,Juuni,Juuli,August,September,Oktoober,November,Detsember
2019,Linnaline ja väikelinnaline asustuspiirkond,Ida-Viru maakond,300,17,23,27,17,25,14,37,24,25,36,23,32
2019,Linnaline ja väikelinnaline asustuspiirkond,Jõgeva maakond,7,1,2,0,0,1,0,1,0,0,0,2,0
2019,Linnaline ja väikelinnaline asustuspiirkond,Järva maakond,30,1,6,2,1,1,4,2,2,5,5,0,1
2019,Linnaline ja väikelinnaline asustuspiirkond,Lääne maakond,16,0,3,2,1,1,2,1,1,2,2,1,0
2019,Linnaline ja väikelinnaline asustuspiirkond,Lääne-Viru maakond,34,4,3,6,2,3,1,2,4,1,3,3,2
2019,Linnaline ja väikelinnaline asustuspiirkond,Põlva maakond,12,0,0,2,1,1,1,0,0,0,4,3,0
2019,Linnaline ja väikelinnaline asustuspiirkond,Pärnu maakond,81,9,6,8,5,10,5,1,8,7,5,6,11
2019,Linnaline ja väikelinnaline asustuspiirkond,Rapla maakond,2,0,0,0,0,0,0,2,0,0,0,0,0
2019,Linnaline ja väikelinnaline asustuspiirkond,Saare maakond,22,3,0,2,1,1,1,3,2,1,2,2,4
2019,Linnaline ja väikelinnaline asustuspiirkond,Tartu maakond,179,12,13,19,20,12,19,15,12,15,11,15,16
2019,Linnaline ja väikelinnaline asustuspiirkond,Valga maakond,21,1,4,2,1,1,1,0,3,1,2,1,4
2019,Linnaline ja väikelinnaline asustuspiirkond,Viljandi maakond,32,3,2,3,2,4,0,3,5,1,5,2,2
2019,Linnaline ja väikelinnaline asustuspiirkond,Võru maakond,18,0,1,0,2,2,4,1,2,0,6,0,0
2019,Maaline asustuspiirkond,Harju maakond,145,11,8,12,7,20,16,13,17,9,14,8,10
2019,Maaline asustuspiirkond,Hiiu maakond,20,3,2,3,1,3,2,0,0,4,1,0,1
2019,Maaline asustuspiirkond,Ida-Viru maakond,44,1,4,2,5,7,2,4,5,7,2,2,3
2019,Maaline asustuspiirkond,Jõgeva maakond,38,3,4,2,4,3,1,3,5,5,2,3,3
2019,Maaline asustuspiirkond,Järva maakond,35,3,2,3,3,4,3,6,1,5,2,1,2
2019,Maaline asustuspiirkond,Lääne maakond,26,6,0,1,4,4,2,2,1,3,2,0,1
2019,Maaline asustuspiirkond,Lääne-Viru maakond,64,4,6,7,7,2,3,3,9,9,8,3,3
2019,Maaline asustuspiirkond,Põlva maakond,38,2,1,7,4,4,4,3,2,1,2,3,5
2019,Maaline asustuspiirkond,Pärnu maakond,60,3,3,5,11,5,9,3,3,4,3,6,5
2019,Maaline asustuspiirkond,Rapla maakond,53,4,3,4,3,3,1,7,6,5,6,4,7
2019,Maaline asustuspiirkond,Saare maakond,35,5,1,3,2,5,5,0,4,2,4,1,3
2019,Maaline asustuspiirkond,Tartu maakond,83,5,6,8,6,7,8,10,4,7,12,3,7
2019,Maaline asustuspiirkond,Valga maakond,17,2,1,3,2,0,0,1,1,1,1,3,2
2019,Maaline asustuspiirkond,Viljandi maakond,51,4,6,9,3,4,1,5,7,2,2,4,4
2019,Maaline asustuspiirkond,Võru maakond,35,4,3,6,3,0,2,5,2,2,4,2,2
2020,Linnaline ja väikelinnaline asustuspiirkond,Harju maakond,1069,100,75,79,28,45,88,130,100,115,99,100,110
2020,Linnaline ja väikelinnaline asustuspiirkond,..Tallinn,868,79,58,67,19,39,72,106,89,94,82,74,89
2020,Linnaline ja väikelinnaline asustuspiirkond,Hiiu maakond,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Ida-Viru maakond,272,20,24,18,14,13,15,32,26,31,25,28,26
2020,Linnaline ja väikelinnaline asustuspiirkond,Jõgeva maakond,10,1,0,1,0,1,2,0,1,1,2,1,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Järva maakond,22,0,2,2,2,1,1,0,4,2,1,6,1
2020,Linnaline ja väikelinnaline asustuspiirkond,Lääne maakond,13,1,0,2,1,1,2,1,1,1,2,0,1
2020,Linnaline ja väikelinnaline asustuspiirkond,Lääne-Viru maakond,33,3,3,0,5,2,2,3,3,5,4,3,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Põlva maakond,12,2,1,1,0,1,0,2,1,2,0,2,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Pärnu maakond,75,5,6,6,6,6,10,8,3,9,7,2,7
2020,Linnaline ja väikelinnaline asustuspiirkond,Rapla maakond,6,0,0,2,0,1,2,1,0,0,0,0,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Saare maakond,17,2,0,1,1,0,0,2,3,1,3,4,0
2020,Linnaline ja väikelinnaline asustuspiirkond,Tartu maakond,137,8,14,11,8,10,7,11,16,14,10,16,12
2020,Linnaline ja väikelinnaline asustuspiirkond,Valga maakond,26,4,2,1,3,0,4,1,2,1,3,3,2
2020,Linnaline ja väikelinnaline asustuspiirkond,Viljandi maakond,22,0,6,0,1,0,1,3,2,2,3,2,2
2020,Linnaline ja väikelinnaline asustuspiirkond,Võru maakond,10,0,2,3,0,0,1,0,1,0,0,0,3
2020,Maaline asustuspiirkond,Harju maakond,165,12,8,18,2,7,13,13,15,18,23,16,20
2020,Maaline asustuspiirkond,Hiiu maakond,17,1,3,1,0,0,3,1,4,2,2,0,0
2020,Maaline asustuspiirkond,Ida-Viru maakond,73,3,2,6,1,2,4,9,9,16,10,8,3
2020,Maaline asustuspiirkond,Jõgeva maakond,40,2,5,2,4,2,4,5,3,1,5,1,6
2020,Maaline asustuspiirkond,Järva maakond,23,2,2,2,1,0,3,1,1,3,0,5,3
2020,Maaline asustuspiirkond,Lääne maakond,25,1,1,4,3,0,1,3,2,2,3,4,1
2020,Maaline asustuspiirkond,Lääne-Viru maakond,57,6,1,6,4,4,4,6,11,7,1,1,6
2020,Maaline asustuspiirkond,Põlva maakond,27,0,4,3,0,0,1,3,5,5,2,0,4
2020,Maaline asustuspiirkond,Pärnu maakond,50,3,4,5,3,1,9,5,0,4,7,6,3
2020,Maaline asustuspiirkond,Rapla maakond,57,6,6,1,3,3,5,4,10,4,4,9,2
2020,Maaline asustuspiirkond,Saare maakond,39,3,2,2,3,3,2,5,5,5,1,5,3
2020,Maaline asustuspiirkond,Tartu maakond,80,8,8,9,1,4,8,12,3,6,5,6,10
2020,Maaline asustuspiirkond,Valga maakond,20,1,4,1,2,1,2,3,0,3,3,0,0
2020,Maaline asustuspiirkond,Viljandi maakond,46,4,1,1,4,2,4,6,4,7,3,6,4
2020,Maaline asustuspiirkond,Võru maakond,34,1,4,0,1,4,3,5,4,1,4,2,5
2021,Linnaline ja väikelinnaline asustuspiirkond,Harju maakond,1084,40,62,62,81,61,102,178,160,105,71,82,80
2021,Linnaline ja väikelinnaline asustuspiirkond,..Tallinn,914,38,55,52,61,49,82,147,138,90,67,68,67
2021,Linnaline ja väikelinnaline asustuspiirkond,Hiiu maakond,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Linnaline ja väikelinnaline asustuspiirkond,Ida-Viru maakond,246,13,13,22,21,12,20,33,35,24,19,17,17
2021,Linnaline ja väikelinnaline asustuspiirkond,Jõgeva maakond,5,0,0,0,0,2,0,1,0,0,1,0,1
2021,Linnaline ja väikelinnaline asustuspiirkond,Järva maakond,18,0,0,0,0,3,4,2,2,0,2,4,1
2021,Linnaline ja väikelinnaline asustuspiirkond,Lääne maakond,22,1,1,2,0,2,5,2,4,3,1,0,1
