"Aasta","Asustuspiirkonna liik","Mehe elukoht","Kuud kokku","Jaanuar","Veebruar","Märts","Aprill","Mai","Juuni","Juuli","August","September","Oktoober","November","Detsember"
"2018","Kokku","Kokku",3199,242,237,259,247,267,274,265,244,283,312,282,287
"2018","Kokku","Elukoht väljaspool Eestit",159,11,13,8,10,15,10,16,12,13,12,19,20
"2018","Kokku","Elukoht Eestis",3040,231,224,251,237,252,264,249,232,270,300,263,267
"2018","Kokku","Harju maakond",1502,102,113,137,115,118,129,144,111,129,146,125,133
"2018","Kokku","..Tallinn",1108,78,87,105,87,84,92,105,83,88,110,97,92
"2018","Kokku","Hiiu maakond",19,2,3,0,1,3,3,0,3,0,0,3,1
"2018","Kokku","Ida-Viru maakond",444,42,32,22,34,33,42,28,36,46,42,48,39
"2018","Kokku","Jõgeva maakond",58,5,6,6,4,3,3,4,1,7,7,6,6
"2018","Kokku","Järva maakond",57,4,6,2,5,4,5,7,6,5,4,4,5
"2018","Kokku","Lääne maakond",39,4,3,4,5,5,1,1,3,6,2,3,2
"2018","Kokku","Lääne-Viru maakond",129,12,7,10,8,14,8,9,17,13,10,7,14
"2018","Kokku","Põlva maakond",39,3,3,2,2,1,5,2,2,3,3,4,9
"2018","Kokku","Pärnu maakond",147,7,11,12,11,14,17,13,9,14,21,8,10
"2018","Kokku","Rapla maakond",68,7,3,4,5,5,8,5,5,7,4,9,6
"2018","Kokku","Saare maakond",48,5,3,7,5,3,3,0,4,5,4,5,4
"2018","Kokku","Tartu maakond",299,23,23,32,23,31,22,19,22,21,32,27,24
"2018","Kokku","Valga maakond",51,2,1,7,4,2,7,2,3,6,9,5,3
"2018","Kokku","Viljandi maakond",76,7,7,4,4,10,6,9,5,3,9,5,7
"2018","Kokku","Võru maakond",61,6,3,2,10,6,5,6,4,5,7,3,4
"2018","Kokku","Elukoht Eestis teadmata",3,0,0,0,1,0,0,0,1,0,0,1,0
"2018","Linnaline ja väikelinnaline asustuspiirkond","Kokku",2209,171,163,185,174,178,192,179,179,198,216,187,187
"2018","Linnaline ja väikelinnaline asustuspiirkond","Harju maakond",1302,91,96,121,98,101,116,128,102,105,124,114,106
"2018","Linnaline ja väikelinnaline asustuspiirkond","..Tallinn",1108,78,87,105,87,84,92,105,83,88,110,97,92
"2018","Linnaline ja väikelinnaline asustuspiirkond","Hiiu maakond",0,0,0,0,0,0,0,0,0,0,0,0,0
"2018","Linnaline ja väikelinnaline asustuspiirkond","Ida-Viru maakond",380,37,27,19,30,28,35,23,30,38,37,41,35
