Sugu,Aasta,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75 ja vanemad
Naised,2017,1,139,425,593,539,516,409,298,195,107,54,22,17
Naised,2018,7,134,389,559,549,484,415,258,176,109,53,26,24
Naised,2019,10,115,342,474,510,413,361,230,158,76,36,21,18
Naised,2020,3,92,277,440,485,426,323,203,135,93,38,23,8
Naised,2021,3,85,257,447,523,416,333,205,112,87,40,11,12
