"RV264U: MARRIAGES by Year, Type of settlement region, Place of residence of groom and Month of contracting the marriage",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Type of settlement region,Place of residence of groom,Months total,January,February,March,April,May,June,July,August,September,October,November,December
2019,City and town settlement region,Põlva county,17,1,0,0,1,4,0,6,3,0,1,1,0
2019,City and town settlement region,Pärnu county,151,9,8,12,6,18,13,23,27,14,5,9,7
2019,City and town settlement region,Rapla county,21,0,0,2,1,3,2,6,4,1,0,2,0
2019,City and town settlement region,Saare county,39,2,1,0,0,5,4,9,9,3,2,3,1
2019,City and town settlement region,Tartu county,418,16,20,22,23,46,46,66,88,39,20,15,17
2019,City and town settlement region,Valga county,43,2,1,2,4,0,4,7,8,4,2,2,7
2019,City and town settlement region,Viljandi county,58,2,0,2,2,10,4,10,12,5,3,5,3
2019,City and town settlement region,Võru county,36,4,1,1,2,3,5,6,8,2,0,0,4
2019,Rural settlement region,Harju county,364,13,25,23,17,31,39,69,60,36,19,15,17
2019,Rural settlement region,Hiiu county,44,2,2,3,4,4,4,7,5,4,2,3,4
2019,Rural settlement region,Ida-Viru county,120,1,4,10,8,10,9,22,17,13,15,5,6
2019,Rural settlement region,Jõgeva county,89,5,1,3,4,9,10,14,12,10,6,6,9
2019,Rural settlement region,Järva county,54,2,1,1,1,8,7,17,6,3,3,3,2
2019,Rural settlement region,Lääne county,45,1,3,3,2,4,4,10,8,3,2,2,3
2019,Rural settlement region,Lääne-Viru county,138,7,7,12,7,20,18,15,24,6,15,1,6
2019,Rural settlement region,Põlva county,82,3,4,7,9,5,8,14,10,6,7,3,6
2019,Rural settlement region,Pärnu county,150,5,5,5,10,17,16,22,28,14,13,10,5
2019,Rural settlement region,Rapla county,104,6,4,12,8,9,6,19,16,7,8,7,2
2019,Rural settlement region,Saare county,83,3,4,2,5,9,11,12,15,11,3,3,5
2019,Rural settlement region,Tartu county,176,8,3,9,5,16,21,39,22,29,5,6,13
2019,Rural settlement region,Valga county,65,5,2,5,7,6,4,4,11,10,3,2,6
2019,Rural settlement region,Viljandi county,102,2,3,4,5,12,7,21,19,7,9,6,7
2019,Rural settlement region,Võru county,84,1,2,5,2,11,7,17,14,5,10,6,4
2020,City and town settlement region,Harju county,2659,181,254,152,99,106,213,442,461,263,216,120,152
2020,City and town settlement region,..Tallinn,2210,155,208,128,85,90,180,365,379,210,184,96,130
2020,City and town settlement region,Hiiu county,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,City and town settlement region,Ida-Viru county,462,30,46,21,25,14,31,66,75,47,46,31,30
2020,City and town settlement region,Jõgeva county,12,1,0,2,1,1,1,0,1,0,5,0,0
