Sugu,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Mehed,7745,7378,7006,5517,5589,5430,5590,5485,5647,5853,5699,6009,6121,6954,7022,6127,5362,5066,5499,5888,5630,6220,6815,6360,6447,6573,6701,6093,6396
Naised,7745,7378,7006,5517,5589,5430,5590,5485,5647,5853,5699,6009,6121,6954,7022,6127,5362,5066,5499,5888,5630,6220,6815,6360,6447,6573,6701,6093,6396
